Incident_ID,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
13,India,2019,Ransomware,Education,30.56,583204,Insider,Zero-day,Firewall,37
2973,India,2023,Man-in-the-Middle,Retail,12.96,254903,Unknown,Social Engineering,Firewall,4
423,Australia,2016,Malware,Telecommunications,68.42,778844,Unknown,Zero-day,Encryption,65
1689,China,2023,DDoS,Government,53.46,374484,Unknown,Unpatched Software,Antivirus,46
1780,Germany,2020,Malware,Government,32.59,743344,Insider,Zero-day,VPN,4
2640,UK,2019,Phishing,Telecommunications,33.85,60183,Nation-state,Unpatched Software,AI-based Detection,17
2320,China,2024,SQL Injection,Education,18.45,947933,Insider,Social Engineering,Antivirus,10
638,UK,2016,Man-in-the-Middle,Government,41.34,189354,Insider,Zero-day,Firewall,39
1279,France,2019,Man-in-the-Middle,Healthcare,39.48,450466,Unknown,Unpatched Software,VPN,52
1641,France,2016,Man-in-the-Middle,Healthcare,23.99,106126,Unknown,Weak Passwords,Antivirus,19
510,USA,2017,Man-in-the-Middle,IT,30.4,568560,Hacker Group,Zero-day,AI-based Detection,49
598,India,2017,Ransomware,Retail,80.93,837506,Nation-state,Zero-day,Antivirus,8
2713,Japan,2017,Ransomware,Government,9.24,126143,Unknown,Weak Passwords,Antivirus,35
2635,China,2015,Ransomware,IT,86.82,748040,Insider,Weak Passwords,Firewall,18
2365,UK,2022,Malware,Telecommunications,38.76,361529,Nation-state,Social Engineering,Firewall,67
2644,China,2018,SQL Injection,Healthcare,76.4,966102,Hacker Group,Social Engineering,Firewall,1
519,Russia,2015,Malware,Telecommunications,69.34,20269,Unknown,Social Engineering,VPN,36
2794,Russia,2022,SQL Injection,Retail,6.61,351048,Insider,Unpatched Software,VPN,57
574,Russia,2021,DDoS,Government,91.69,686309,Unknown,Unpatched Software,Antivirus,42
2726,Russia,2016,Ransomware,Banking,28.79,183711,Insider,Zero-day,Encryption,50
1098,France,2021,Man-in-the-Middle,Telecommunications,90.99,483484,Hacker Group,Unpatched Software,VPN,2
1948,Australia,2019,Man-in-the-Middle,IT,87.89,551100,Insider,Zero-day,VPN,9
1449,UK,2020,DDoS,Retail,18.52,125100,Unknown,Weak Passwords,VPN,61
1585,China,2024,DDoS,IT,13.77,928751,Insider,Social Engineering,Encryption,26
2597,UK,2015,Phishing,Retail,77.58,270326,Nation-state,Social Engineering,Firewall,24
965,Russia,2021,DDoS,Education,18.47,394957,Hacker Group,Weak Passwords,Antivirus,27
1019,Australia,2022,SQL Injection,Healthcare,60.71,8498,Nation-state,Weak Passwords,VPN,17
2909,France,2024,SQL Injection,Healthcare,31.91,931787,Hacker Group,Unpatched Software,Firewall,15
359,Brazil,2021,Ransomware,Government,74.01,956893,Unknown,Social Engineering,Antivirus,49
737,UK,2022,Ransomware,Education,4.29,383246,Nation-state,Unpatched Software,VPN,45
1785,Japan,2022,SQL Injection,Retail,43.73,392831,Nation-state,Weak Passwords,AI-based Detection,71
1609,Brazil,2016,DDoS,Telecommunications,94.1,838739,Unknown,Social Engineering,VPN,21
260,Russia,2015,Malware,Healthcare,63.09,80855,Nation-state,Zero-day,AI-based Detection,53
2772,India,2022,DDoS,Banking,92.23,626017,Unknown,Unpatched Software,Antivirus,1
2643,Japan,2021,DDoS,Telecommunications,94.23,441749,Nation-state,Unpatched Software,AI-based Detection,55
2743,Australia,2024,Phishing,Telecommunications,42.28,297456,Nation-state,Zero-day,VPN,20
2384,Germany,2022,Man-in-the-Middle,Telecommunications,0.54,419912,Nation-state,Zero-day,AI-based Detection,40
1030,India,2015,Man-in-the-Middle,Banking,97.28,694308,Nation-state,Weak Passwords,VPN,66
2409,USA,2020,Malware,Telecommunications,27.16,858207,Nation-state,Unpatched Software,AI-based Detection,42
970,Russia,2017,Phishing,Banking,3.2,982243,Insider,Zero-day,Encryption,6
2991,France,2015,Phishing,Telecommunications,65.16,998011,Unknown,Zero-day,Encryption,14
820,India,2021,SQL Injection,Telecommunications,68.91,851981,Nation-state,Zero-day,AI-based Detection,57
2717,China,2019,Man-in-the-Middle,Telecommunications,6.24,739538,Nation-state,Zero-day,Encryption,5
2326,Japan,2018,Man-in-the-Middle,Education,20.85,511823,Insider,Zero-day,AI-based Detection,43
457,UK,2021,Ransomware,Banking,79.33,555527,Unknown,Unpatched Software,Firewall,33
463,France,2019,Phishing,Retail,3.0,298096,Unknown,Social Engineering,Firewall,16
2345,India,2017,DDoS,Banking,45.98,538245,Hacker Group,Weak Passwords,AI-based Detection,18
2689,Russia,2020,DDoS,Healthcare,6.37,82576,Nation-state,Weak Passwords,VPN,40
382,Japan,2022,Man-in-the-Middle,Retail,37.15,241151,Hacker Group,Social Engineering,Antivirus,56
1892,USA,2022,Ransomware,IT,85.61,826018,Hacker Group,Weak Passwords,Firewall,24
1833,USA,2020,Ransomware,Healthcare,17.24,682791,Insider,Social Engineering,Encryption,44
2309,Japan,2023,SQL Injection,IT,8.24,183702,Nation-state,Zero-day,VPN,57
1507,Japan,2021,Malware,Healthcare,77.84,783976,Nation-state,Weak Passwords,Firewall,62
806,USA,2018,SQL Injection,Government,99.49,755576,Insider,Weak Passwords,AI-based Detection,23
2439,China,2024,Man-in-the-Middle,Telecommunications,53.59,4913,Hacker Group,Weak Passwords,AI-based Detection,61
757,UK,2015,SQL Injection,Telecommunications,38.72,943070,Hacker Group,Zero-day,VPN,36
2516,Brazil,2022,Ransomware,Retail,1.42,510870,Unknown,Unpatched Software,AI-based Detection,35
1254,Japan,2020,SQL Injection,Banking,70.14,575065,Insider,Weak Passwords,Encryption,61
870,France,2017,DDoS,Government,86.82,99728,Nation-state,Unpatched Software,VPN,44
2065,Japan,2017,Phishing,Education,88.43,954423,Unknown,Unpatched Software,Firewall,6
1411,USA,2019,Malware,Healthcare,57.85,412236,Nation-state,Weak Passwords,Antivirus,36
2361,India,2023,DDoS,Healthcare,2.27,438318,Hacker Group,Unpatched Software,AI-based Detection,39
2288,Japan,2024,Malware,Government,34.03,78149,Nation-state,Weak Passwords,Encryption,30
2859,Australia,2018,Phishing,IT,61.47,239301,Unknown,Social Engineering,Antivirus,22
1174,France,2016,Man-in-the-Middle,IT,11.91,765453,Unknown,Social Engineering,Antivirus,39
543,USA,2016,SQL Injection,Government,14.17,863298,Nation-state,Unpatched Software,VPN,15
2105,Australia,2020,Man-in-the-Middle,Healthcare,56.14,401178,Hacker Group,Unpatched Software,Encryption,43
1256,USA,2016,Phishing,Education,86.3,702702,Hacker Group,Zero-day,Encryption,14
1767,Japan,2021,Man-in-the-Middle,Retail,9.97,536471,Hacker Group,Weak Passwords,Encryption,72
1766,Brazil,2018,Phishing,Education,57.59,257681,Nation-state,Zero-day,Antivirus,40
1290,India,2015,DDoS,Retail,39.28,585934,Insider,Unpatched Software,Antivirus,13
2422,Japan,2015,Phishing,Government,98.29,850600,Insider,Zero-day,Encryption,17
2528,UK,2018,Phishing,Healthcare,95.3,269142,Unknown,Unpatched Software,Encryption,72
1344,USA,2024,SQL Injection,Retail,86.29,457411,Nation-state,Zero-day,VPN,34
1526,Germany,2022,SQL Injection,Telecommunications,29.02,859311,Insider,Zero-day,AI-based Detection,47
2895,Brazil,2019,Malware,IT,54.26,883977,Nation-state,Unpatched Software,Antivirus,47
2687,USA,2024,Malware,Education,75.51,822636,Insider,Social Engineering,Antivirus,63
2195,France,2022,Malware,IT,6.51,82276,Insider,Zero-day,Firewall,26
2421,China,2016,SQL Injection,Healthcare,52.68,55913,Nation-state,Social Engineering,Antivirus,70
1678,USA,2022,Ransomware,Retail,92.88,771367,Hacker Group,Social Engineering,Firewall,5
1287,Japan,2022,Phishing,Telecommunications,35.54,604908,Unknown,Zero-day,Antivirus,25
436,China,2024,Phishing,Telecommunications,9.45,501864,Hacker Group,Unpatched Software,Encryption,12
1728,Russia,2017,SQL Injection,Healthcare,67.13,198285,Nation-state,Unpatched Software,Encryption,56
238,Brazil,2016,DDoS,IT,17.12,988369,Hacker Group,Weak Passwords,AI-based Detection,26
2348,India,2021,DDoS,Education,95.95,62194,Nation-state,Zero-day,AI-based Detection,12
110,Brazil,2020,DDoS,Banking,76.98,708549,Unknown,Weak Passwords,Encryption,37
2275,Russia,2024,DDoS,Education,26.82,156823,Hacker Group,Social Engineering,VPN,1
164,France,2024,Ransomware,Retail,99.03,349008,Nation-state,Zero-day,Encryption,20
289,Japan,2021,DDoS,Banking,32.84,311274,Hacker Group,Zero-day,Encryption,67
253,China,2022,Ransomware,Telecommunications,64.92,591819,Unknown,Zero-day,Antivirus,49
2584,Germany,2024,Man-in-the-Middle,Government,45.75,865871,Insider,Weak Passwords,Antivirus,58
1965,India,2018,SQL Injection,Telecommunications,15.96,444408,Unknown,Weak Passwords,AI-based Detection,64
1289,Brazil,2020,Ransomware,IT,56.59,679131,Hacker Group,Weak Passwords,AI-based Detection,55
745,Brazil,2015,Ransomware,Retail,91.03,879260,Hacker Group,Social Engineering,Antivirus,16
1207,Russia,2021,Malware,Government,51.05,262500,Nation-state,Social Engineering,AI-based Detection,27
2420,Brazil,2024,Malware,Healthcare,50.71,964191,Unknown,Weak Passwords,VPN,36
1392,UK,2016,SQL Injection,Education,43.55,712306,Hacker Group,Social Engineering,Firewall,29
2334,France,2024,Phishing,Government,5.18,219162,Hacker Group,Unpatched Software,Encryption,23
991,China,2018,DDoS,IT,14.04,803086,Nation-state,Social Engineering,VPN,23
840,France,2020,DDoS,IT,7.52,957779,Nation-state,Social Engineering,Encryption,17
1150,India,2016,Phishing,Banking,43.81,250482,Insider,Weak Passwords,VPN,20
1222,USA,2023,SQL Injection,Education,77.96,164892,Insider,Weak Passwords,Firewall,63
1744,Australia,2015,DDoS,Education,51.54,297721,Nation-state,Weak Passwords,Antivirus,29
2401,China,2021,SQL Injection,Government,55.55,224311,Insider,Zero-day,Firewall,57
462,Germany,2016,Phishing,Education,48.57,907547,Unknown,Unpatched Software,Firewall,33
1310,Japan,2024,DDoS,Government,84.36,234154,Nation-state,Unpatched Software,VPN,42
1436,Australia,2022,Man-in-the-Middle,Banking,34.16,346224,Nation-state,Zero-day,Encryption,64
158,USA,2016,Malware,Retail,32.89,894935,Unknown,Social Engineering,AI-based Detection,31
1912,Russia,2019,Malware,Education,56.94,217880,Nation-state,Unpatched Software,VPN,48
2360,China,2020,SQL Injection,Healthcare,11.55,388591,Unknown,Zero-day,Antivirus,68
678,India,2021,SQL Injection,Government,75.25,597509,Nation-state,Social Engineering,Firewall,20
2849,Japan,2015,Malware,Retail,9.75,559143,Nation-state,Social Engineering,VPN,69
1873,Japan,2018,SQL Injection,Education,60.57,468399,Nation-state,Zero-day,VPN,56
239,France,2022,Malware,Healthcare,67.89,325521,Hacker Group,Social Engineering,VPN,69
2918,Germany,2019,DDoS,IT,71.08,445129,Insider,Unpatched Software,Antivirus,19
1092,UK,2019,Malware,Government,46.27,798717,Hacker Group,Social Engineering,Encryption,10
2871,UK,2015,Ransomware,Banking,32.0,712739,Nation-state,Weak Passwords,Antivirus,17
101,India,2018,Ransomware,Retail,23.79,486810,Hacker Group,Unpatched Software,Antivirus,11
316,Brazil,2017,Ransomware,IT,9.43,493087,Hacker Group,Unpatched Software,Encryption,44
1024,UK,2016,Phishing,Retail,13.68,144856,Unknown,Unpatched Software,Antivirus,13
2747,Brazil,2019,Malware,IT,8.31,989421,Unknown,Zero-day,Firewall,46
768,India,2023,Ransomware,Banking,83.18,397813,Nation-state,Social Engineering,Antivirus,12
1345,China,2018,Malware,Education,62.82,580609,Unknown,Weak Passwords,AI-based Detection,29
262,Japan,2020,Ransomware,IT,79.52,934400,Unknown,Social Engineering,VPN,4
1452,India,2018,DDoS,Education,55.3,512953,Unknown,Weak Passwords,Firewall,57
2835,Germany,2021,Malware,Government,88.01,334748,Unknown,Zero-day,Encryption,5
196,Russia,2022,Phishing,Banking,85.01,923558,Insider,Weak Passwords,Encryption,41
1776,Australia,2015,Malware,Banking,8.24,242247,Insider,Social Engineering,Antivirus,29
2842,Germany,2021,SQL Injection,Banking,69.07,264662,Insider,Social Engineering,AI-based Detection,46
1736,Australia,2020,Man-in-the-Middle,Banking,34.59,427407,Unknown,Unpatched Software,Encryption,47
180,Japan,2022,Phishing,Government,71.12,76776,Unknown,Unpatched Software,Firewall,42
2923,Japan,2017,Ransomware,Telecommunications,49.72,578125,Insider,Social Engineering,Firewall,71
341,China,2016,Man-in-the-Middle,Banking,97.28,86038,Insider,Weak Passwords,Encryption,19
1100,India,2022,DDoS,IT,38.69,333967,Insider,Zero-day,Firewall,26
1544,Australia,2022,Ransomware,Government,92.07,819812,Nation-state,Unpatched Software,Encryption,63
749,Russia,2024,SQL Injection,Government,63.45,492909,Unknown,Zero-day,AI-based Detection,42
2756,India,2018,Malware,Education,41.28,197323,Hacker Group,Social Engineering,Antivirus,47
663,France,2016,SQL Injection,Government,29.33,182916,Nation-state,Unpatched Software,Antivirus,17
481,Brazil,2023,SQL Injection,IT,97.37,796195,Nation-state,Social Engineering,Firewall,20
2139,Germany,2020,DDoS,Banking,76.53,46824,Hacker Group,Social Engineering,VPN,39
872,Russia,2019,Ransomware,Telecommunications,61.11,605427,Nation-state,Zero-day,Encryption,33
1454,India,2024,DDoS,Retail,0.6,766733,Insider,Zero-day,AI-based Detection,55
2953,India,2019,Phishing,Government,8.93,725325,Insider,Zero-day,Firewall,16
550,France,2019,Man-in-the-Middle,Banking,28.29,929020,Nation-state,Weak Passwords,Antivirus,2
2021,Germany,2015,Ransomware,IT,6.74,742272,Nation-state,Zero-day,Antivirus,64
2709,India,2016,Man-in-the-Middle,IT,70.24,374767,Unknown,Unpatched Software,Antivirus,67
743,USA,2017,Phishing,Healthcare,52.7,281182,Nation-state,Zero-day,Encryption,27
2416,Germany,2023,Ransomware,Banking,52.88,982507,Unknown,Unpatched Software,Encryption,39
2638,Russia,2021,SQL Injection,Retail,82.88,479586,Insider,Zero-day,AI-based Detection,8
2567,USA,2022,Ransomware,IT,50.4,34584,Insider,Zero-day,Firewall,43
2293,USA,2018,DDoS,Banking,6.61,646433,Insider,Social Engineering,Firewall,37
1910,France,2023,Phishing,Healthcare,72.54,581712,Insider,Social Engineering,VPN,12
791,Brazil,2018,DDoS,Telecommunications,69.83,587034,Hacker Group,Weak Passwords,AI-based Detection,35
2121,Russia,2024,Ransomware,Healthcare,63.74,83374,Insider,Zero-day,VPN,45
1447,Russia,2017,Ransomware,Education,95.08,679860,Unknown,Social Engineering,Encryption,66
248,Germany,2017,Malware,Healthcare,8.53,676384,Unknown,Social Engineering,VPN,44
830,France,2021,Man-in-the-Middle,Healthcare,53.77,302180,Insider,Weak Passwords,AI-based Detection,11
1125,Brazil,2020,DDoS,Government,13.22,790415,Hacker Group,Zero-day,Encryption,52
2721,Japan,2024,Man-in-the-Middle,Retail,12.62,970866,Hacker Group,Weak Passwords,Firewall,13
627,Australia,2019,DDoS,Healthcare,84.89,163975,Nation-state,Unpatched Software,Firewall,22
348,Brazil,2024,Ransomware,Government,32.21,482574,Nation-state,Unpatched Software,Firewall,22
279,USA,2023,Malware,Telecommunications,23.98,123866,Nation-state,Zero-day,Firewall,43
1784,UK,2016,SQL Injection,Telecommunications,98.39,836521,Insider,Weak Passwords,Firewall,19
2281,Germany,2021,Ransomware,Education,11.42,55683,Hacker Group,Unpatched Software,AI-based Detection,19
656,USA,2015,Ransomware,Banking,33.75,58037,Insider,Social Engineering,VPN,13
1214,Russia,2018,Ransomware,Education,22.77,828880,Hacker Group,Unpatched Software,Antivirus,69
839,India,2022,Ransomware,Retail,74.05,205336,Hacker Group,Social Engineering,AI-based Detection,2
2625,China,2016,DDoS,Healthcare,63.15,500521,Nation-state,Weak Passwords,Encryption,27
2589,France,2018,Phishing,Government,30.68,338619,Hacker Group,Unpatched Software,Antivirus,68
2351,Japan,2022,Ransomware,IT,73.1,346939,Insider,Weak Passwords,VPN,21
1710,India,2019,SQL Injection,IT,43.97,764974,Nation-state,Weak Passwords,VPN,18
2024,UK,2021,DDoS,IT,67.12,581923,Hacker Group,Social Engineering,VPN,63
977,UK,2016,DDoS,Retail,39.26,668780,Hacker Group,Zero-day,Firewall,33
446,India,2023,Ransomware,Education,41.15,352194,Nation-state,Unpatched Software,Firewall,10
618,UK,2019,Phishing,IT,75.31,428615,Unknown,Social Engineering,AI-based Detection,66
1475,Russia,2024,Ransomware,Government,48.88,172789,Hacker Group,Unpatched Software,VPN,10
1779,Japan,2020,SQL Injection,Telecommunications,38.29,505831,Hacker Group,Social Engineering,Encryption,40
2518,Australia,2016,Ransomware,Healthcare,47.18,509930,Unknown,Social Engineering,AI-based Detection,68
1245,Germany,2018,Man-in-the-Middle,Banking,23.32,524693,Unknown,Unpatched Software,VPN,63
2996,UK,2021,Ransomware,Government,51.42,190694,Unknown,Social Engineering,Firewall,52
2553,China,2016,Malware,Telecommunications,85.8,962508,Unknown,Social Engineering,AI-based Detection,13
548,India,2018,Malware,Healthcare,30.83,481452,Unknown,Weak Passwords,AI-based Detection,57
2211,India,2020,SQL Injection,Government,42.81,432917,Hacker Group,Unpatched Software,AI-based Detection,53
1624,USA,2018,Phishing,Banking,89.74,279786,Insider,Zero-day,VPN,46
264,China,2016,Malware,Healthcare,96.63,808984,Unknown,Weak Passwords,Firewall,26
1398,Germany,2019,Malware,Retail,6.47,360381,Unknown,Zero-day,VPN,62
2354,Japan,2017,SQL Injection,Banking,18.01,295917,Unknown,Weak Passwords,VPN,57
1816,Australia,2022,Phishing,Healthcare,72.53,496317,Hacker Group,Weak Passwords,Antivirus,62
354,China,2024,DDoS,Healthcare,11.92,557016,Unknown,Zero-day,Firewall,34
1076,France,2016,DDoS,Telecommunications,20.09,689397,Insider,Social Engineering,AI-based Detection,68
209,Brazil,2016,Malware,IT,99.29,273469,Insider,Social Engineering,AI-based Detection,67
614,Australia,2024,Ransomware,Education,44.95,500747,Insider,Unpatched Software,AI-based Detection,58
2091,Japan,2017,Man-in-the-Middle,Telecommunications,21.8,610106,Unknown,Social Engineering,Encryption,39
2100,USA,2023,Phishing,IT,29.42,957199,Hacker Group,Social Engineering,AI-based Detection,49
1499,China,2023,SQL Injection,Education,4.18,715127,Nation-state,Weak Passwords,Antivirus,60
1136,China,2019,SQL Injection,Education,64.26,796878,Nation-state,Zero-day,Antivirus,26
2881,Russia,2019,Phishing,Banking,58.38,826778,Insider,Zero-day,AI-based Detection,59
2079,USA,2022,Phishing,IT,48.71,520480,Insider,Weak Passwords,VPN,66
58,India,2018,DDoS,Healthcare,76.43,304162,Hacker Group,Unpatched Software,Firewall,56
2484,France,2019,Phishing,IT,55.31,526220,Nation-state,Social Engineering,AI-based Detection,2
812,Japan,2021,Phishing,Retail,81.26,245015,Nation-state,Zero-day,Firewall,41
2196,Russia,2024,Phishing,IT,47.56,234055,Unknown,Weak Passwords,VPN,64
562,UK,2021,Man-in-the-Middle,Education,40.98,414340,Insider,Unpatched Software,AI-based Detection,10
2944,Russia,2020,SQL Injection,Government,10.46,778573,Unknown,Zero-day,Encryption,62
230,Japan,2017,Man-in-the-Middle,Retail,74.12,559889,Nation-state,Zero-day,VPN,10
2510,Brazil,2017,Phishing,IT,81.04,850794,Unknown,Social Engineering,Antivirus,69
1722,France,2018,SQL Injection,Banking,32.84,77096,Unknown,Weak Passwords,VPN,29
2180,France,2021,Ransomware,Retail,76.83,189999,Hacker Group,Social Engineering,VPN,57
1451,China,2020,Man-in-the-Middle,Retail,34.82,500252,Nation-state,Zero-day,Antivirus,29
1235,USA,2015,Man-in-the-Middle,Government,47.76,428556,Unknown,Weak Passwords,Antivirus,15
1072,Germany,2024,Malware,Telecommunications,79.72,639779,Nation-state,Zero-day,Antivirus,6
2850,Brazil,2017,Man-in-the-Middle,Education,67.55,287646,Nation-state,Social Engineering,VPN,68
1038,USA,2019,SQL Injection,Education,78.12,36804,Unknown,Weak Passwords,VPN,30
890,Australia,2017,SQL Injection,IT,5.05,823606,Insider,Weak Passwords,Encryption,25
1054,China,2021,Malware,Retail,20.52,33426,Unknown,Social Engineering,Antivirus,16
708,UK,2021,Malware,Telecommunications,3.17,570243,Insider,Unpatched Software,Antivirus,51
425,France,2023,SQL Injection,Healthcare,69.76,824351,Unknown,Zero-day,Firewall,17
70,China,2021,Phishing,Healthcare,55.04,871600,Insider,Unpatched Software,Firewall,29
2250,Brazil,2019,Phishing,Government,70.6,817268,Nation-state,Zero-day,VPN,1
2536,Brazil,2017,Ransomware,Healthcare,32.9,433987,Unknown,Zero-day,AI-based Detection,21
2840,Australia,2023,Phishing,Government,91.02,305005,Hacker Group,Zero-day,Firewall,71
2407,China,2021,SQL Injection,IT,98.57,430792,Insider,Weak Passwords,Antivirus,9
2964,Russia,2015,Ransomware,Retail,46.96,672033,Hacker Group,Social Engineering,Antivirus,2
2582,Russia,2022,SQL Injection,Telecommunications,1.99,652682,Insider,Social Engineering,Encryption,46
2093,Germany,2015,Ransomware,Telecommunications,99.83,419344,Hacker Group,Zero-day,Firewall,59
941,Australia,2018,Ransomware,Education,50.66,851204,Insider,Zero-day,Firewall,3
621,UK,2019,Man-in-the-Middle,Government,23.93,325827,Nation-state,Zero-day,Antivirus,39
2520,Germany,2022,SQL Injection,Banking,52.91,619669,Unknown,Unpatched Software,Antivirus,19
1197,Russia,2019,Ransomware,IT,60.24,354784,Hacker Group,Social Engineering,AI-based Detection,65
2068,Japan,2017,Phishing,IT,6.49,195044,Unknown,Unpatched Software,AI-based Detection,20
1033,Russia,2023,Man-in-the-Middle,IT,26.45,850714,Hacker Group,Unpatched Software,Encryption,6
1506,Germany,2018,Ransomware,Government,89.36,184748,Unknown,Unpatched Software,Firewall,4
1577,Japan,2016,DDoS,Education,71.12,604557,Nation-state,Social Engineering,Encryption,20
2131,UK,2023,Malware,Education,23.86,552241,Hacker Group,Zero-day,Encryption,50
2045,France,2019,Malware,Healthcare,25.19,897755,Hacker Group,Social Engineering,Antivirus,61
1396,Australia,2019,Phishing,Education,46.64,971148,Insider,Unpatched Software,Firewall,44
280,France,2017,DDoS,Telecommunications,79.93,305905,Unknown,Unpatched Software,Encryption,44
1466,Japan,2022,Ransomware,Education,51.51,536995,Hacker Group,Weak Passwords,Encryption,3
1504,India,2021,Malware,Telecommunications,82.66,586,Hacker Group,Zero-day,VPN,23
2283,Russia,2015,Man-in-the-Middle,Education,98.58,816455,Unknown,Unpatched Software,AI-based Detection,40
2839,France,2016,DDoS,Banking,77.29,120341,Nation-state,Zero-day,VPN,45
2724,Australia,2016,Phishing,Education,98.72,6670,Nation-state,Social Engineering,VPN,24
554,Germany,2021,Man-in-the-Middle,Banking,37.69,361849,Hacker Group,Zero-day,Firewall,63
835,Japan,2023,Man-in-the-Middle,Telecommunications,86.98,635827,Nation-state,Social Engineering,Encryption,72
963,Australia,2015,DDoS,Government,13.96,479025,Nation-state,Zero-day,Antivirus,54
597,USA,2016,SQL Injection,Healthcare,25.85,79102,Nation-state,Zero-day,AI-based Detection,4
2452,USA,2017,Malware,Government,56.74,976007,Insider,Social Engineering,Encryption,59
803,USA,2019,Phishing,IT,20.13,25946,Hacker Group,Weak Passwords,AI-based Detection,68
2137,Brazil,2017,DDoS,Government,18.69,131940,Nation-state,Weak Passwords,Antivirus,34
2986,Russia,2023,SQL Injection,Telecommunications,79.71,358439,Insider,Unpatched Software,Antivirus,48
2720,UK,2021,Man-in-the-Middle,Banking,71.88,757595,Insider,Weak Passwords,VPN,40
441,UK,2017,SQL Injection,Government,98.75,894933,Insider,Weak Passwords,Antivirus,59
509,USA,2015,SQL Injection,Telecommunications,88.6,916744,Nation-state,Social Engineering,Antivirus,47
77,France,2017,Phishing,Banking,17.88,16585,Hacker Group,Unpatched Software,Encryption,12
2482,Russia,2017,Man-in-the-Middle,Banking,66.53,45277,Insider,Social Engineering,Firewall,43
650,France,2018,Phishing,Retail,99.78,860459,Hacker Group,Social Engineering,AI-based Detection,11
523,China,2024,DDoS,IT,22.45,704925,Unknown,Unpatched Software,AI-based Detection,52
1488,USA,2015,Phishing,Government,82.4,197305,Insider,Unpatched Software,AI-based Detection,34
2209,India,2023,Phishing,Retail,53.07,589348,Hacker Group,Social Engineering,Antivirus,4
1495,Brazil,2020,SQL Injection,Retail,96.97,466897,Insider,Unpatched Software,VPN,58
655,France,2016,Man-in-the-Middle,Retail,14.86,63760,Hacker Group,Weak Passwords,VPN,8
2817,Japan,2018,Phishing,Education,3.6,598297,Insider,Social Engineering,VPN,49
1539,USA,2019,DDoS,Retail,18.76,411707,Insider,Social Engineering,VPN,42
1424,USA,2022,Phishing,Retail,47.66,20064,Insider,Social Engineering,Encryption,61
1652,Australia,2018,Malware,Telecommunications,36.01,215231,Unknown,Zero-day,AI-based Detection,49
631,UK,2022,DDoS,Telecommunications,80.05,484908,Unknown,Weak Passwords,Firewall,42
2542,Japan,2021,SQL Injection,Retail,64.81,263770,Unknown,Social Engineering,Antivirus,62
1508,France,2015,Phishing,IT,49.84,282583,Unknown,Weak Passwords,VPN,15
2942,France,2017,SQL Injection,Government,36.09,696801,Insider,Zero-day,VPN,32
483,Germany,2016,DDoS,IT,63.11,579291,Hacker Group,Unpatched Software,Encryption,6
1928,India,2024,Man-in-the-Middle,Retail,30.59,619881,Nation-state,Unpatched Software,Antivirus,42
1114,USA,2022,Ransomware,IT,38.84,687052,Nation-state,Unpatched Software,Encryption,34
2564,USA,2019,Malware,Retail,45.42,969699,Hacker Group,Social Engineering,Firewall,63
1089,UK,2015,DDoS,Telecommunications,85.23,193852,Insider,Zero-day,VPN,54
439,India,2023,DDoS,Education,82.11,23683,Hacker Group,Weak Passwords,Encryption,69
1718,USA,2023,Malware,Banking,35.91,91974,Hacker Group,Zero-day,AI-based Detection,41
